Italiano,Descrizione breve,Inglese,Cinese moderno,Arabo moderno,Rumeno,Ucraino,Albanese,Immagine,Categoria
sostegno,Aiuto o incoraggiamento dato a qualcuno.,support,支持,دعم,sprijin,підтримка,mbështetje,sostegno.png,Abbracci
cura,Attenzione e gesti fatti per far stare bene qualcuno o qualcosa.,care,照顾,رعاية,grijă,турбота,kujdes,cura.png,Abbracci
aiuto,Gesto o azione che serve a sostenere una persona in difficoltà.,help,帮助,مساعدة,ajutor,допомога,ndihmë,aiuto.png,Abbracci
bisogno,Cosa necessaria o molto importante per vivere o stare bene.,need,需要,حاجة,nevoie,потреба,nevojë,bisogno.png,Abbracci
persona diversamente abile,"Persona che può avere alcune difficoltà nel muoversi, vedere, sentire o fare certe azioni, ma che ha capacità e diritti come tutti. ",person with a disability,"
残障人士",شخص ذو إعاقة,persoană cu dizabilități,людина з інвалідністю,person me aftësi të kufizuara,persona diversamente abile.png,Diversità
persona non vedente,Persona che non vede o vede molto poco.,blind person,盲人,شخص كفيف,persoană nevăzătoare,незряча людина,person i verbër,persona non vedente.png,Diversità
calzino,"Indumento che si mette sul piede, dentro la scarpa.",sock,袜子,جورب,șosetă,шкарпетка,çorape,calzino.png,Diversità
uguale,"Che è lo stesso di un altro, senza differenze importanti.",equal / same,相同的,متساوٍ,egal,однаковий,i barabartë / i njëjtë,uguale.png,Diversità
bambina,Persona di sesso femminile quando è piccola.,little girl,小女孩,طفلة,fetiță,дівчинка,vajzë e vogël,bambina.png,Piccole e grandi donne
ragazza,Persona di sesso femminile giovane.,girl,女孩,فتاة,fată,дівчина,vajzë,ragazza.png,Piccole e grandi donne
femmina,Persona o animale di sesso femminile.,female,女性,أنثى,femelă,жіноча стать,femër,femmina.png,Piccole e grandi donne
maschio,Persona o animale di sesso maschile.,male,男性,ذكر,mascul,чоловіча стать,mashkull,maschio.png,Piccole e grandi donne
disparità,Differenza ingiusta tra persone o gruppi.,inequality / disparity,差距 / 不平等,تفاوت,disparitate,нерівність,pabarazi,disparità.png,Piccole e grandi donne
parità,Situazione in cui tutti hanno gli stessi diritti e le stesse possibilità.,equality,平等,مساواة,egalitate,рівність,barazi,parità.png,Piccole e grandi donne
voto,"Scelta espressa in un’elezione, oppure numero dato a scuola per valutare un lavoro.",vote / mark,投票 / 分数,تصويت / درجة,vot / notă,голос / оцінка,votë / notë,voto.png,Piccole e grandi donne
scienziata,Donna che studia la scienza e fa ricerche.,female scientist,女科学家,عالمة,cercetătoare / femeie de știință,науковиця,shkencëtare,scienziata.png,Piccole e grandi donne
legge,Regola importante che tutti devono rispettare in un Paese.,law,法律,قانون,lege,закон,ligj,legge.png,Legalità
convivenza civile,"Modo di vivere insieme rispettando le persone, le regole e gli spazi comuni.",civil coexistence,文明共处,تعايش مدني,conviețuire civilă,громадянське співжиття,bashkëjetesë civile,convivenza civile.png,Legalità
reato,Azione vietata dalla legge.,crime / offence,犯罪,جريمة,infracțiune,злочин,vepër penale,reato.png,Legalità
avvocato,Persona che conosce le leggi e aiuta chi ha bisogno di difendersi o capire i propri diritti.,lawyer,律师,محامٍ,avocat,адвокат,avokat,avvocato.png,Legalità
processo,Momento in cui un giudice ascolta le persone e decide secondo la legge.,trial,审判,محاكمة,proces,судовий процес,proces gjyqësor,processo.png,Legalità
multa,Somma di denaro da pagare quando non si rispetta una regola.,fine,罚款,غرامة,amendă,штраф,gjobë,multa.png,Legalità
